Year,Week,Crop Type,Avg Market Price (RM/KG),Month
2015,5,KANGKUNG,1.42,Feb
2015,5,KUBIS BULAT (TANAH TINGGI),1.72,Feb
2015,5,LABU MANIS,1.22,Feb
2015,5,LADA BENGGALA / CAPSICUM HIJAU,4.65,Feb
2015,5,LIMAU KASTURI,3.02,Feb
2015,5,LIMAU NIPIS,3.16,Feb
2015,5,PERIA,2.73,Feb
2015,5,SALAD BULAT TANAH TINGGI,4.08,Feb
2015,5,SAWI HIJAU (TANAH RENDAH),1.91,Feb
2015,5,TERUNG BULAT,3.44,Feb
2015,5,TERUNG PANJANG / PEPARU (TANAH RENDAH),3.53,Feb
2015,5,TIMUN HIJAU,0.96,Feb
2015,5,TOMATO (TANAH TINGGI),3.25,Feb
2015,6,BAYAM,1.57,Feb
2015,6,CILI HIJAU,5.64,Feb
2015,6,CILI MERAH KULAI / KULAI HIBRID,6.75,Feb
2015,6,CILI MERAH MINYAK,6.31,Feb
2015,6,CILI PADI,15.5,Feb
2015,6,DAUN SUP (TANAH TINGGI),5.38,Feb
2015,6,HALIA MUDA,6.09,Feb
2015,6,KACANG BENDI,4.06,Feb
2015,6,KACANG BUNCIS,4.62,Feb
2015,6,KACANG PANJANG HIJAU,2.26,Feb
2015,6,KAILAN,2.72,Feb
2015,6,KANGKUNG,1.31,Feb
2015,6,KUBIS BULAT (TANAH TINGGI),1.6,Feb
2015,6,LABU MANIS,1.23,Feb
2015,6,LADA BENGGALA / CAPSICUM HIJAU,5.95,Feb
2015,6,LIMAU KASTURI,2.77,Feb
2015,6,LIMAU NIPIS,3.45,Feb
2015,6,PERIA,2.5,Feb
2015,6,SALAD BULAT TANAH TINGGI,4.26,Feb
2015,6,SAWI HIJAU (TANAH RENDAH),1.76,Feb
2015,6,TERUNG BULAT,3.67,Feb
2015,6,TERUNG PANJANG / PEPARU (TANAH RENDAH),3.44,Feb
2015,6,TIMUN HIJAU,0.86,Feb
2015,6,TOMATO (TANAH TINGGI),3.09,Feb
2015,7,BAYAM,1.52,Feb
2015,7,CILI HIJAU,5.62,Feb
2015,7,CILI MERAH KULAI / KULAI HIBRID,6.71,Feb
2015,7,CILI MERAH MINYAK,7.17,Feb
2015,7,CILI PADI,14.73,Feb
2015,7,DAUN SUP (TANAH TINGGI),4.62,Feb
2015,7,HALIA MUDA,5.64,Feb
2015,7,KACANG BENDI,3.79,Feb
2015,7,KACANG BUNCIS,3.86,Feb
2015,7,KACANG PANJANG HIJAU,2.43,Feb
2015,7,KAILAN,2.81,Feb
2015,7,KANGKUNG,1.29,Feb
2015,7,KUBIS BULAT (TANAH TINGGI),1.15,Feb
2015,7,LABU MANIS,1.22,Feb
2015,7,LADA BENGGALA / CAPSICUM HIJAU,5.74,Feb
2015,7,LIMAU KASTURI,2.55,Feb
2015,7,LIMAU NIPIS,4.22,Feb
2015,7,PERIA,2.38,Feb
2015,7,SALAD BULAT TANAH TINGGI,2.52,Feb
